"FORUM_BBS_NO","FORUM_CATEGORY_CODE","RGST_DATE","RGST_USER_NO","RGST_USER_ID","UPDT_DATE","UPDT_USER_NO","UPDT_USER_ID","DEL_YN"
75,TRNC_RND,2023-09-19 15:05:51.347,"07003537",melily,2023-09-19 15:05:51.347,"07003537",melily,N
76,TRNC_RND,2023-09-19 15:07:11.740,"07003537",melily,2023-09-19 15:07:11.740,"07003537",melily,N
77,TRNC_RND,2023-09-19 15:13:57.770,"07003537",melily,2023-09-19 15:13:57.770,"07003537",melily,N
78,TRNC_RND,2023-09-19 15:18:29.923,"07003537",melily,2023-09-19 15:18:29.923,"07003537",melily,N
79,TRNC_ETC,2023-09-19 17:02:14.150,"07003268",souljh,2023-09-19 17:02:14.150,"07003268",souljh,N
79,TRNC_RND,2023-09-19 17:02:14.150,"07003268",souljh,2023-09-19 17:02:14.150,"07003268",souljh,N
79,TRNC_TECH,2023-09-19 17:02:14.150,"07003268",souljh,2023-09-19 17:02:14.150,"07003268",souljh,N
80,TRNC_PROD,2023-09-20 14:18:23.303,"00216302",baesunghoon,2023-09-20 14:18:23.303,"00216302",baesunghoon,N
80,TRNC_QLITY,2023-09-20 14:18:23.303,"00216302",baesunghoon,2023-09-20 14:18:23.303,"00216302",baesunghoon,N
80,TRNC_RND,2023-09-20 14:18:23.303,"00216302",baesunghoon,2023-09-20 14:18:23.303,"00216302",baesunghoon,N
80,TRNC_TECH,2023-09-20 14:18:23.303,"00216302",baesunghoon,2023-09-20 14:18:23.303,"00216302",baesunghoon,N
81,TRNC_RND,2023-09-20 16:41:43.283,"07000372",jiehyunseong,2023-09-20 16:41:43.283,"07000372",jiehyunseong,N
82,TRNC_ETC,2023-09-21 08:23:03.433,FP503057,djlee92,2023-09-21 08:23:03.433,FP503057,djlee92,N
83,TRNC_RND,2023-09-21 10:32:24.583,"10088643",zhaocaiyi,2023-09-21 10:40:33.883,"10088643",zhaocaiyi,N
84,TRNC_ETC,2023-09-21 14:30:05.530,FP503057,djlee92,2023-09-21 14:30:05.530,FP503057,djlee92,N
85,TRNC_RND,2023-09-24 16:39:42.043,"07003537",melily,2023-09-24 16:39:42.043,"07003537",melily,N
86,TRNC_RND,2023-09-26 16:45:07.100,"07003537",melily,2023-09-26 16:45:07.100,"07003537",melily,N
87,TRNC_ETC,2023-09-26 19:36:23.850,FP503057,djlee92,2023-09-26 19:36:23.850,FP503057,djlee92,N
88,TRNC_PROD,2023-09-27 23:47:02.107,"07004902",jungjae,2023-09-27 23:47:02.107,"07004902",jungjae,N
88,TRNC_RND,2023-09-27 23:47:02.107,"07004902",jungjae,2023-09-27 23:47:02.107,"07004902",jungjae,N
88,TRNC_TECH,2023-09-27 23:47:02.107,"07004902",jungjae,2023-09-27 23:47:02.107,"07004902",jungjae,N
89,TRNC_BMS,2023-10-04 13:50:39.753,FP502896,yangkim_es,2023-10-04 13:50:39.753,FP502896,yangkim_es,N
89,TRNC_TECH,2023-10-04 13:50:39.753,FP502896,yangkim_es,2023-10-04 13:50:39.753,FP502896,yangkim_es,N
90,TRNC_PROD,2023-10-04 15:44:38.770,FP503057,djlee92,2023-10-04 15:44:38.770,FP503057,djlee92,N
91,TRNC_BMS,2023-10-04 18:28:37.217,FP502896,yangkim_es,2023-10-04 18:28:37.217,FP502896,yangkim_es,N
91,TRNC_ETC,2023-10-04 18:28:37.217,FP502896,yangkim_es,2023-10-04 18:28:37.217,FP502896,yangkim_es,N
91,TRNC_TECH,2023-10-04 18:28:37.217,FP502896,yangkim_es,2023-10-04 18:28:37.217,FP502896,yangkim_es,N
92,TRNC_ETC,2023-10-04 18:37:34.437,FP503057,djlee92,2023-10-04 18:37:34.437,FP503057,djlee92,N
93,TRNC_ETC,2023-10-04 18:38:00.953,FP503057,djlee92,2023-10-05 08:48:53.443,"07002750",jongwonhong,N
94,TRNC_BSN_MARKT,2023-10-05 08:46:19.033,"07002750",jongwonhong,2023-10-05 08:51:15.420,"07002750",jongwonhong,N
94,TRNC_ETC,2023-10-05 08:47:58.603,"07002750",jongwonhong,2023-10-05 08:50:39.627,"07002750",jongwonhong,Y
94,TRNC_QLITY,2023-10-05 08:50:39.630,"07002750",jongwonhong,2023-10-05 08:51:15.417,"07002750",jongwonhong,Y
95,TRNC_RND,2023-10-05 13:57:27.397,"00227989",ryukisun,2023-10-05 13:57:27.397,"00227989",ryukisun,N
96,TRNC_RND,2023-10-06 09:59:52.177,"00216446",normandybr,2023-10-06 09:59:52.177,"00216446",normandybr,N
97,TRNC_BSN_MARKT,2023-10-06 14:25:47.540,"07001861",kimkym,2023-10-06 14:25:47.540,"07001861",kimkym,N
97,TRNC_INFR_SAFE,2023-10-06 14:25:47.540,"07001861",kimkym,2023-10-06 14:25:47.540,"07001861",kimkym,N
97,TRNC_MNGMT_INV,2023-10-06 14:25:47.540,"07001861",kimkym,2023-10-06 14:25:47.540,"07001861",kimkym,N
97,TRNC_PROD,2023-10-06 14:25:47.540,"07001861",kimkym,2023-10-06 14:25:47.540,"07001861",kimkym,N
97,TRNC_QLITY,2023-10-06 14:25:47.540,"07001861",kimkym,2023-10-06 14:25:47.540,"07001861",kimkym,N
